english,luganda,source
He was taken to hospital for treatment.,Yatwaliddwa mu ddwaliro afune obujjanjabi.,kambale
Locals should not occupy government gazetted land.,Abatuuze tebalina kusenga ku ttaka lya gavumenti erikuumiddwa.,kambale
To date the teacher has not been released.,N'okutuusa leero omusomesa oyo tateebwanga.,kambale
Institutions insist on different regulations during elections.,Ebitongole ebitali bimu byagala amateeka agagobererwa mu kiseera ky'okulonda gakyusibwe.,kambale
The candidates sat for their final exams after the uplifting of lockdown.,Abayizi abali mu bibiina eby'akamalirizo baatuula ebigezo byabwe omuggalo bwe gwagibwawo.,kambale
We have to pay rent transport buy lunch yet we are not earning.,Tulina okusasula ez'obupangisa entambula n'okugula emmere kyokka ng'ate tetuyingiza ssente.,kambale
He says the payment is in the final stages.,Agamba nti ensasula eri ku mutendera ogusembayo.,kambale
The deceased was my friend's father.,Omugenzi yali mukwano gwa kitange.,kambale
What is the role of the ministry of education and sports?,Ekitongole ky'eby'enjigiriza n'emizannyo kirina mulimu ki?,kambale
Uganda's athletics are winning a lot of medals.,Abaddusi ba Uganda bawangula emidaali mingi nnyo.,kambale
Children do not pay school fees when they are given money.,Abaana tebasasula bisale bya ssomero bwe baweebwa ssente.,kambale
The public should be aware of forest reserve areas.,Abantu balina okumanya ku bitundu by'ebibira.,kambale
She was hired to make an advert on behalf of the company.,Yapangisibwa okukubira kampuni obulango.,kambale
India had many cases of coronavirus.,Abantu bangi mu Buyindi baalwala obulwadde bwa corona.,kambale
He was arrested for being idle and disorderly.,Yakwatibwa ng'avunaanibwa okuba kireerese.,kambale
The deceased's relatives chased his children out of the house.,Ab'enganda z'omugenzi baagoba abaana be mu nnyumba.,kambale
Her necklace was very beautiful.,Eky'omu bulago kye kyali kirabika bulungi nnyo.,kambale
Some Muslims broke away from the Supreme Council when it sold off Muslim properties.,Abasiraamu abamu beyawula ku kakiiko akakulu bwe katunda ebintu by'obusiraamu.,kambale
He mobilized people to kill their neighbors along ethnic lines.,Yakunga abantu okutta baliraanwa baabwe abatali ba ggwanga lyabwe.,kambale
Water shortage often results in poor sanitation.,Ebbula ly'amazzi litera okuvaamu obukyafu.,kambale
Traditional ceremonies bond families,Ekigazi kya nkola kituunika olubwamu,cultural
What are the names of your first two daughters?,Bawala bo ababiri abasooka bayitibwa batya?,kambale
We decline to grant the declaration on the bias as prayed.,Tugaanye okuwa okusalawo kwaffe ku kyekubiira nga bwe kyasabibwa.,kambale
I back up all my phone contacts on my google account.,Ennamba z'amassimu eziri ku ssimu yange nzitereka ku mukutu gwange ogwa yintaneenti.,kambale
People need to prepare for their retirement.,Abantu beetaaga okwetegekera ebiseera eby'okuwummula emirimu.,kambale
Accounting plays an important role in running a business.,Bizineesi okusobola okutambula obulungi kiba kikulu okuba n'embalirira.,kambale
The three arms of government depend on each other.,Amatabi asatu agakola gavumenti gasaanidde okukolagana.,kambale
This happens when his opponents in the ring are journalists.,Kino kibaawo nga b'alwana nabo bannamawulire.,kambale
The reporter has the records.,Omusasi alina ebiwandiiko.,kambale
The trial has been postponed to next month.,Okuwozesebwa kwongezeddwayo okutuusa omwezi ogujja.,kambale
She keeps holding onto the past.,Alemera ku by'emabega.,kambale
What do you want from me?,Onjagaza ki?,kambale
People should have respect for people's property.,Abantu balina okussa ekitiibwa mu bintu by'abantu.,kambale
Footballers use their legs to play with the ball.,Abazannyi b'omupiira bakozesa bigere byabwe okuzannya omupiira.,kambale
Each evening he brought meat at home.,Buli kawungeezi yaleetanga ennyama awaka.,kambale
On November seventeenth in eastern Rwanda Burundian soldiers were hit in a night attack.,Nga kkumi na musanvu Ogwekkumi n'ogumu mu buvanjuba bwa Rwanda abajaasi ba Burundi baakubibwa mu bulumbaganyi bw'ekiro.,kambale
The poor attendance of the learners has affected the morale of the teachers.,Okwosaayosa kw'abayizi kukosezza omudigido gw'abasomesa kwe basomeseza.,kambale
The district encouraged people to embrace the new technology in the district.,Disitulikiti yakubiriza abantu okwaniriza tekinologiya omupya mu disitulikiti.,kambale
Thousands of Christians gather to remember and celebrate the life of the martyrs.,Enkumi n'enkumi z'Abakristaayo bakungaana okujjukira n'okujjaguza obulamu bw'abajulizi.,kambale
Teachers received two million shillings to better their welfare during the pandemic.,Abasomesa baafuna obukadde bubiri okulongoosa ku mbeera yaabwe mu kaseera k'ekirwadde.,kambale
She was appreciated for her impactful missionary education service.,Yasiimibwa olw'okubeera omuminsani eyayigiriza abantu ebintu ebyabakwatako ennyo.,kambale
Girls open up about their reproductive lives since they are reached one on one.,Abawala beebuulira kaati ku bulamu bwabwe obw'okuzaala nga beesanze omu ku omu.,kambale
Small houses can be well organised to fix many things.,Ennyumba entono zisobola okutegekebwa obulungi okugyamu ebintu ebingi.,kambale
People were sensitized about the economy.,Abantu basomesebwa ku by'enfuna.,kambale
The vaccine from the world health organisation is effective though insufficient.,Edagala erigema okuva mu kitongole ky'obulamu eky'ensi yonna lijjanjaba lwakuba terimala.,kambale
Cancer patients need better treatment.,Abalwadde ba kkookolo beetaaga obujjanjabi obulungi.,kambale
The girls have been skilled with hairdressing and tailoring skills.,Abawala babanguliddwa mu by'okusiba enviiri n'okutunga.,kambale
Fever is one of the symptoms of coronavirus.,Omusajja gwe gumu ku bubonero bw'ekirwadde kya korona.,kambale
The police have started arresting people who have not followed the established procedures.,Poliisi etandise okusiba abantu abatagoberedde mateeka agaateekebwawo.,kambale
The market vendors said they had many challenges.,Abakozi b'omukatale baagambye baabadde n'okusoomozebwa kungi.,kambale
I would like to be married in church.,Nnandyagadde okugattibwa mu kkanisa.,kambale
Water is a necessity.,Amazzi kyetaago.,kambale
There is low agricultural output,Amakungula g'abalimi n'abalunzi matono.,kambale
Is that a wholesale shop?,Eryo ly'edduuka erisuubuza?,kambale
They were scared of bloodshed because of regional conflicts.,Batya nnyo ekiyiwamusaayi olw'obutakkaanya mu bitundu.,kambale
Police charge a criminal by the law.,Poliisi evunaana omumenyi w'amateeka mu mateeka.,kambale
A five hundred kilovolts generator was installed to boost power generation.,Genereeta ey'amaanyi ga kiro vooloti bitaano yateekebwawo okwongeza ku masannyalaze agakolebwa.,kambale
It is illegal for an employee to work without taking leave.,Kimenya mateeka omukozi okukola nga taweebwa luwummula.,kambale
He was released on bail.,Baamuteera ku kakalu ka kkooti.,kambale
It seems like the minister is on a mission.,Kirabika nga Minisita alina ekigendererwa ky'aliko.,kambale
The president appointed a new chief justice this year.,Omwaka guno pulezidenti yalonda ssaabalamuzi omuggya.,kambale
Who was the first president of Uganda?,Ani yasooka okuba pulezidenti wa Uganda?,kambale
I am sorry about what I said the other day.,Munsonyiwe bye nnayogera ku lunaku luli.,kambale
A few coronavirus recoveries have been realised.,Abaawonye akawuka ka kolona abatono basiimiddwa.,kambale
Transport costs have hiked so much during this season.,Ebisale by'entambula biwanikiddwa nnyo mu sizoni eno.,kambale
Sustainable development goals include an improved health system.,Ebimu ku biruubirira by'enkulaakulana mulimu ebyobulamu ebirungi oba ebiri ku mutindo.,kambale
Viral infections exist among us.,Endwadde ezisaasaanyizibwa obuwuka mweziri mu ffe.,kambale
Some Ugandans like playing golf.,Bannayuganda abamu baagala okuzannya goofu.,kambale
This pandemic period is an opportunity for them to organize themselves.,Akaseera k'ekirwadde kano mukisa gye bali okweetereza.,kambale
Priests dedicate their lives to serving God.,Ababuulizi bawaayo obulamu bwabwe okuweereza Katonda.,kambale
She abandoned her children and got married to another man.,Yasulawo abaana be n'afumbirwa omusajja omulala.,kambale
Some insects transmit diseases.,Ebiwuka ebimu bisaasaanya endwadde.,kambale
In our company if you are caught receiving a bribe you are fired immediately.,Mu kampuni yaffe bwe bakukwata ng'olya enguzi bakugoberawo.,kambale
The minister said that the murderers were mostly interested in women.,Minisita yagamba nti abattemu baali baagala kutta bakazi.,kambale
The officials will organise debates in schools about the prevailing challenges in society.,Abakungu bajja kutegeka okukubaganya ebirowoozo mu masomero ku kusoomoza okugenda maaso mu kitundu.,kambale
Most people do not work on Sundays.,Abantu abasinga tebakola ku Ssande.,kambale
She complained that her brother receives more attention and gifts from their parents.,Yeemulugunya nti muganda we omulenzi bazadde baabwe baamufangako nnyo era baamuwanga ebirabo bingi okusinga ye omuwala.,kambale
All leadership comes from God.,Obukulembeze bwonna buva eri Mukama.,kambale
He read his class notes and passed the examinations.,Yasoma bye yawandiika mu kibiina era n'ayita ebigezo.,kambale
People are at risk of disease outbreaks like malaria.,Abantu bali mu katyabaga k'okubalukawo kw'obulwadde nga omusujja gw'ensiri.,kambale
President delegates government officials to execute tasks on his behalf.,Pulezidenti awa abakungu ba gavumenti obuvunaanyizibwa okukola ebintu ku lulwe.,kambale
The journalists were beaten by the police.,Bannamawulire baakubibwa poliisi.,kambale
My father is a very powerful man in this village.,Taata wange muntu wa maanyi nnyo ku kyalo kino.,kambale
The tap is no longer leaks.,Taapu tekyatonnya.,kambale
Some shops in town do not pay taxes.,Amaduuka agamu mu kibuga tegasasula musolo.,kambale
He is supervising the project in Hoima.,Alabirira pulojekiti e Hoima.,kambale
Why did companies lay off some of their workers during the pandemic?,Lwaki amakampuni gaasalako abamu ku bakozi mu kiseera ky'ekirwadde?,kambale
The least supported party in Ugandan also wants to participate in the upcoming elections.,Ekibiina ekisinga obuwagizi obutono mu Uganda nakyo kyagala kwetaba mu kulonda okujja.,kambale
He didn't break any rules when he saved the street children.,Talina tteeka lye yamenye mu kutaasa abaana ab'oku nguudo.,kambale
Eleven people contested for presidency in the recently concluded elections.,Abantu kkumi n'omu be baavuganya ku kifo ky'obwa pulezidenti mu kulonda okwakaggwa.,kambale
It is not illegal for a civilian to own a gun in Uganda.,Tekimenya mateeka omuntu owa bulijjo okuba n'emmundu mu Uganda.,kambale
Stationery is now being taxed.,Kati ebikozesebwa biggibwako omusolo.,kambale
The people of Moyo district provided land for the refugees.,Abantu ba disitulikiti y'e Moyo disitulikiti baawa abanoonyiboobubudamu ettaka.,kambale
The Ministry of Health provided a phone number to acquire information about yellow fever.,Minisitule y'ebyobulamu yataddewo ennamba y'essimu okufuna obubaka obukwata ku musujja gw'enkaka.,kambale
The two best friends have the same surname.,Ab'emikwano ababiri abaagalana ennyo bafaanaganya amannya ag'ekikka.,kambale
African countries have challenges in the strategic planning and operation of their surveillance systems.,Ensi za Afirika zirina obuzibu okuteekateeka mu ngeri eyekikugu n'okugoberera ebikozesebwa.,kambale
The head of intelligence would not call personally to direct such a mission with a stranger.,Oyo akulira ekitongole ekikessi yali tasobola kukuba ssimu kukwasaganya mulimu ogwo n'omuntu gw'atamanyi.,kambale
The biggest problems we have are finances and organization.,Ebizibu ebisinga obunene bye tulina bya ssente na kubulwa ntegeka.,kambale
Some universities did not participate in last year's sports tournament.,Yunivasite ezimu tezeenyigira mu mizannyo gy'omwaka oguwedde.,kambale
Dogs naturally eat small animals like rabbits and hens.,Embwa zitera kulya obusolo obutonotono ng'obumyu n'enkoko.,kambale
She wore a unique fashionable dress.,Yayambala olugoye olw'enjawulo olulabika obulungi.,kambale
Passengers on the flight will also reach lake Mburo National Park with ease.,Abasaabaze ku nnyonyi bajja kutuuka mangu ku Mburo National Park.,kambale
The elections will be held on Friday.,Okulonda kujja kubaawo ku Lwokutaano.,kambale
"They began the constitution with the collective ""We the people"".",Baatandika ssemateeka n'ekigambo ekigatta nti ffe abantu.,kambale
There are many immigrants in Uganda.,Abasenze bangi mu Uganda.,kambale
This is one of the best poems that has ever been written.,Kino kye kimu ku bitontome ebyali biwandiikiddwa ebikyasinzeeyo okunyuma.,kambale
He is a person of high status in society.,Muntu wa kitiibwa nnyo mu kitundu.,kambale
By working together we can defeat the terrorists.,Bwe tukolera awamu tusobola okuwangula abatujju.,kambale
Television stations had ignored the government warning not to cover the opposition leader's conference.,Emikutu gya telefayina gyali giziimudde okulabulwa kwa gavumenti obutaweereza nkungaana za bakulembeze ba ludda luvuganya gavumenti.,kambale
Voters and supporters are two different categories of people.,Abalonzi n'abawagizi bantu ba biti byanjawulo.,kambale
All cultures should be recognised at the national level.,Ebyobuwangwa byonna birina okumanyibwa ku mutendera gw'eggwanga.,kambale
He told the journalists that he had been falsely accused of murder.,Yagamba bannamawulire nti bamusibako omusango gw'obutemu.,kambale
Its aim was to ensure that parties without representation have their own space.,Ekiruubirirwa kyakyo kyali kya kukakasa nti ebibiina ebitalina bakiise bifuna ekifo kyabyo.,kambale
What are some of the roles played by the game rangers?,Abakuuma ebisolo by'omu nsiko balina buvunaanyizibwa ki?,kambale
"Under what conditions can one attain the title of a ""Doctor""?","Mbeera ki eziyinza okuviirako omuntu okufuna ekitiibwa kya ""Dokita""?",kambale
He was arrested yesterday.,Yakwatiddwa eggulo.,kambale
The government hopes the two tribes get equal representation.,Gavumenti eyagala ebika ebibiri bikiikirirwe kyenkanyi .,kambale
He works with the World Health Organization.,Akolera mu kitongole ky'eby'obulamu eky'ensi yonna.,kambale
I could not let the boys kill the white dove at my watch.,Nnali siyinza kuleka baleenzi abo kutta egiba eryeru nga ndaba.,kambale
Workers can strike if not paid in time,Abakozi basobola okwekalakaasa singa tebasasulwa mu budde,kambale
Learners shouldn't be discriminated in schools according to their performance.,Abayizi tebalina okusosolwa mu masomero okusinziira ku nsoma yaabwe.,kambale
Is this your first game in the Uganda premier league?,Guno gwe muzannyo gwo ogusoose mu mpaka za pulimiya ya Uganda?,kambale
The genocide was successful because of effective mobilization by the state.,Ekittabantu kyaliwo olw'okuba gavumenti yasobola bulungi okukunga abantu okukyenyigiramu.,kambale
The country will never forget the cup finals four years ago.,Eggwanga terijja kwerabira luzannya lw'akamalirizo emyaka ena emabega.,kambale
Uganda's female presidential candidate believes she is the right person for the seat.,Omukyala eyeesimbyewo okuvuganya ku ntebe ya pulezidenti mu Uganda agamba nti ye muntu omutuufu okutwala entebe eyo.,kambale
The car has stopped.,Emmotoka ezikidde.,kambale
He advised community members to live a peaceful life while on earth.,Yakubirizza abantu b'omu kitundu okubeera mu mirembe nga bali ku nsi.,kambale
The chairman called for a community meeting.,Ssentebe yayita olukiiko lw'ekyalo.,kambale
She is a very influential woman in this country.,Mukazi mwattikirivu nnyo mu ggwanga lino.,kambale
The whole class went silent when I entered.,Ekibiina kyonna kyasirika bwe nnayingira.,kambale
The poison he took killed him instantly.,Obutwa bwe yannywa bwamuttirawo.,kambale
There is a new teacher in class.,Mu kibiina mulimu omusomesa omupya.,kambale
People are actively participating in community activities.,Abantu beetabidde ddala mu mirimu gy'ekitundu.,kambale
He won a gold medal from the Olympics race competitions.,Yawangula omudaali gwa zaabu mu mpaka za olimpiki.,kambale
The president has ordered the minister of health to increase the salaries of doctors in the country.,Pulesidenti alagidde minisita w'eby'obulamu okwongeza omusaala gw'abasawo mu ggwanga.,kambale
He failed the exams.,Yagwa ebigezo.,kambale
Peaceful donation encourages other groups to help the refugees.,Okugaba obuyambi okw'emirembe kusikiriza abantu abalala okuyamba abanoonyiboobubudamu.,kambale
No team had scored a goal by the end of the second half of the match.,Ekitundu eky'okubiri we kyagwereddeko tewabaddewo ttiimu etteebye goolo.,kambale
My grandmother has a garden of mushrooms.,Jjajja wange alina ennimiro y'obutiko.,kambale
Teachers are service providers in the education sector.,Abasomesa baweereza mu kisaawe ky'ebyenjigiriza.,kambale
Infants usually suffer from Colic.,Abaana abawere batera okukaaba ennyo wadde nga sibalwadde ate ng'enjala tebaluma kye bayita Colic.,kambale
She did not fall into their trap.,Teyagwa mu katego kaabwe.,kambale
The president wants to win the support of the people once again.,Pulezidenti ayagala kuddamu kuganja mu bantu.,kambale
Given the current rainy season only farmers are the beneficiaries of it.,Mu kino ekiseera ky'enkuba balimi bokka be bakifunyemu.,kambale
Uganda Telecom's troubles started in two thousand seven with big debts.,Ebizibu bya Uganda Telecom byatandika mu nkumi bbiri musanvu n'embalirira ennene.,kambale
They needed to improve the citizen's standards of living.,Baali beetaaga okutumbula embeera z'abatuuze ze bawangaaliramu.,kambale
All workers attended a meeting chaired by their boss.,Abakozi bonna baazze mu lukiiko olwakubiriziddwa mukama waabwe.,kambale
How do people cross this river?,Abantu basomoka batya omugga guno?,kambale
The continent has witnessed long-term violent conflicts.,Ssemazinga ebaddemu entalo okumala ebbanga ddene.,kambale
A political party was sued for selecting aspirants in a constituency that doesn't exist.,Ekibiina ky'ebyobufuzi kyaloopebwa olw'okulonda abesimbyewo mu kitundu ekitaliiwo .,kambale
They expressed their dissatisfaction.,Baalaga obutali bumativu bwabwe.,kambale
The hospital does not have emergency rooms.,Eddwaliro teririna busenge muteekebwa bayi.,kambale
He is watching football from the neighborhood.,Omupiira agulabira ku muliraano.,kambale
They did not have money to pay their players.,Tebaalina ssente za kusasula bazannyi baabwe.,kambale
They received a grant to build a daycare.,Baafuna obuyambi okusobola okuzimba ekifo awakuumirwa abaana emisana.,kambale
Why are most gates made out of metal?,Lwaki geeti ezisinga obungi zikolebwa mu byuma?,kambale
Yellow fever weakens the body.,Omusujja gw'enkaka gunafuya omubiri.,kambale
Very few Ugandans eat rabbit meat.,Bannayuganda batono nnyo abalya ennyama y'obumyu.,kambale
The recently concluded elections were successfully concluded.,Okulonda okwakaggwa kwakomekerezebwa bulungi.,kambale
What is the process to get drivers' licenses?,Nkola ki egobererwa okufuna ebipapula ebikukkiriza okuvuga?,kambale
They joined the military in alleged unclear circumstances.,Baayingira amagye mu ngeri ezigambibwa ezitaali nnambulukufu.,kambale
How do you know if someone is an expert?,Otegeera otya nti omuntu mukugu?,kambale
I am going to buy juice.,Ngenda kugula omubisi.,kambale
While some diseases are incurable others are curable.,Wadde ng'endwadde ezimu teziwona endala ziwona.,kambale
He always has a way out.,Bulijjo afuna eggezi eddala.,kambale
The president's swearing-in ceremony will be held on Friday.,Omukolo ogw'okulayiza pulezidenti gujja kubaawo ku Lwokutaano.,kambale
The sick child dies on the journey,Omwana omusita afa mu luuyi,sunbird
Cherukut was undergoing a course at the College of Logistics and Engineering in Magamaga,Cherukut yali asoma essomo lya Logistics ne Engineering e Magamaga.,kambale
The media plays a great role in the community we live in.,Emikutu gy'empuliziganya gikola kinene mu bitundu mwe tubeera.,kambale
There are conflicts between the teachers parents and the headteachers.,Waliwo obukuubagano wakati w'abasomesa abazadde n'abakulembeze b'amasomero.,kambale
The parliamentarian will lobby for funds and establish income-generating activities.,Omubaka wa paalamenti ajja kusaka ensimbi atondewo emirimu egivaamu ensimbi.,kambale
Clan leaders take advantage of women even when the men are wrong.,Abakulu b'ebika banenya abakazi ne bwe kiba nga abasajja be bali mu nsobi.,kambale
How long should oneself quarantine?,Omuntu alina okweyawulira bbanga ki?,kambale
Doctors have encouraged the youth in this area to donate blood at least once a year.,Abasawo bakubirizza abavubuka mu kitundu kino okugaba omusaayi waakiri omulundi gumu mu mwaka.,kambale
The district commissioned the construction of two main roads in Moyo district.,Disitulikiti yatongoza okuzimba kw'enguudo zi mwasanjala bbiri mu disitulikiti y'e Moyo.,kambale
Many organizations don’t have money.,Ebibiina bingi tebirina ssente.,kambale
Commitment takes determination and sacrifice.,Okwewaayo kutwala omumalirivu n'okwefiiriza.,kambale
A president must win over powerful pillars of opinion in religious groups to keep in power,Omukulembeze w'eggwanga alina okuwangula empagi enkulu ez'amaanyi mu kuwa ebirowoozo mu bibinja by'amaddiini okusobola okwekuumira mu buyinza.,kambale
The lawmakers have been asked to prioritize matters of the youth.,Ababaka ba palamenti bakubiriziddwa okukulembeza ensonga ezikwata ku bavubuka.,kambale
The jets are parked to rust away in the tropical heat and rain.,Ennyonyi zaasimbibwa awo kutalagga mu bbugumu eringi ennyo eriyitiridde n'enkuba.,kambale
Some locals suggested that the police arrest him for the robbery.,Abatuuze abamu baagamba poliisi nti emukwate olw'okubba.,kambale
Where is the venue?,Ekifo kiri wa?,kambale
The president agreed to help pastoralists.,Pulezidenti yakkiriza okuyamba abalunzi.,kambale
The year will be ending in the next three months.,Omwaka gujja kukomekkerezebwa mu myezi essatu egijja.,kambale
Confederation of African football compensation to Lagardere should encourage the re-opening of bidding rights.,Okuliyirira kw'akakiiko akaddukanya omupiira gw'ebigere mu Afirika eri Largadere kulina okukubiriza okuddamu okuggulawo abasigansimbi mu ddembe ly'abantu.,kambale
Vehicles driven on bad roads need to be serviced more often.,Emmotoka ezivugirwa ku nguudo embi zirina okukolebwa saaviisi emirundi mingi.,kambale
Racism and discrimination hinder unity in society.,Obusosoze mu langi n'okuboola abalala kiremesa obumu okubaawo mu bantu.,kambale
Every family member should play their role.,Buli muntu mu maka alina okutuukiriza obuvunaanyizibwa bwe.,kambale
A number of girls competed for the beauty queen crown.,Abawala abawerako baavuganya ku ngule ya nnalulungi.,kambale
Our country has many experienced journalists.,Ensi yaffe erina bannamawulire bangi abalina obumanyirivu.,kambale
The model is to limit the role of money in politics.,Enkola ya kukendeeza ku mulimu gwa ssente mu byobufuzi.,kambale
He insisted that communication within a family is important.,Yakikkaatiriza nti empuliziganya nkulu nnyo mu maka.,kambale
When we were young our parents used to make decisions on our behalf.,Bwe twali tukyali bato bazadde baffe baatusalirangawo.,kambale
It has been raining every day.,Enkuba ebadde etonnya buli lunaku.,kambale
There has been a reduction in the employees' salary in that company.,Omusaala gw'abakozi ba kampuni eyo gwakendeezebwa.,kambale
Aeko Ongodia said government officials should avoid fighting over Uganda Telecom management publicly,Aeko Ongodia yagambye abakungu ba gavumenti balina okwewala okulwanira obukulembeze bwa Uganda Telecom mu lujjudde.,kambale
Chips and chicken are the most common snack combination.,Kipusi n'enkoko y'emmere abantu gye basinga okwettanira.,kambale
Some families do not have food to eat during this lockdown.,Amaka agamu tegalina bya kulya mu kiseera kino eky'omuggalo.,kambale
Unclear land boundaries cause a lot of conflicts in the country.,Ensalo ezitalambiddwa bulungi zireetawo entalo z'ettaka nnyingi mu ggwanga.,kambale
The meeting was for female leaders in the party.,Olukungaana lwali lwa bakulembeze b'ekibiina abakyala.,kambale
Her parents sent her to stay with her rich uncle.,Bazadde be baamusindika abeere ne kojja we omugagga.,kambale
I do not know the chairman's name.,Simanyi linnya lya ssentebe.,kambale
All schools in our area received fifty desks from the government last week.,Amasomero gonna mu kitundu kyaffe gaafuna entebe ataano okuva mu gavumenti wiiki ewedde.,kambale
People should avoid contact with people who have died of yellow fever.,Abantu balina okwewala okukwata kw'abo abafudde omusujja gw'enkaka.,kambale
People have no access to family planning services.,Abantu tebalina busobozi bwa kufuna enkola za kizaalaggumba.,kambale
He wasted a lot of time during his youthful age.,Yayonoona ebiseera bingi nnyo mu myaka gye egy'obuvubuka.,kambale
What are some of the challenges women face in accessing maternal services?,Bisomooza ki abakyala bye basanga nga bagezaako okufuna obulabirizi ku kuzaala?,kambale
We now have more than one city in Uganda.,Kati tulina ebibuga ebisukka mu kimu mu Uganda.,kambale
The president is very concerned about the security in the country.,Pulezidenti afaayo nnyo ku by'okwerinda by'eggwanga.,kambale
Provoking people will release their unseen energy.,Okusoomooza abantu kijja kubaleetera okwoleka amaanyi gaabwe ge basirikidde.,kambale
The confusion in the elections has left me wondering if we have the best leaders.,Okubuzaabuzibwa mu kulonda kundese neewuunya oba nga tulina abakulembeze abalungi.,kambale
There was a riot in the city this morning.,Ku makya leero mu kibuga wabaddeyo okwekalakaasa.,kambale
Waste management is one of the environmental problems faced in Kampala today.,Enkwata ya kasasiro kye kimu ku bizibu by'obutonde ebiri mu Kampala leero.,kambale
They move long distances to access water.,Batambula engendo mpanvu okufuna amazzi.,kambale
The city leaders secretly sold the market land.,Abakulembeze b'ekibuga baatunda ettaka ly'akatale mu nkukutu.,kambale
Early pregnancy is bad.,Okufuna embuto nga bukyali kibi.,kambale
Erias Lukwago has resolved to write to the Kadaga.,Erias Lukwago asazeewo okuwandiikira Kadaga.,kambale
Many schools increased their fees for the new term.,Amasomero mangi gaayongezza ssente za ttaamu empya.,kambale
Landlords should make tenants sign an agreement.,Bannanyini mayumba balina okukozesa abapangisa endagaano.,kambale
People should always be united.,Abantu balina okubeera obumu.,kambale
The situation will get better soon.,Embeera eneetera okutereera.,kambale
The ambassador handed over the cheque to the minister this morning.,Ambasadda yawadde minisita kyeeke ku makya leero.,kambale
I love to visit beautiful places.,Njagala nnyo okukyala mu bifo ebirabika obulungi.,kambale
People should uphold the ethics of public administration.,Abantu bayina okusitula enneeyisa y'okuweereza abantu.,kambale
There is an improvement in the transportation of blood samples.,Waliwo okutereezebwa mu ntambuza ya sampolo z'omusaayi.,kambale
Rwanda's Liberation Day was overseen by Chinese instructors from the People's Liberation Army Honor Guard.,Olunaku lwa Rwanda olw'ameenunula lwakulemberwa abadduumizi aba China okuva mu People's Liberation Army Honor Guard.,kambale
Why do dogs bark?,Lwaki embwa ziboggola?,kambale
The bank has embraced the people of Uganda and wants to grow with them.,Bbanka eyanirizza abantu ba Uganda era eyagala ekule nabo.,kambale
There are many lost souls in the world.,Waliwo abantu bangi mu nsi abasobeddwa nga tebamanyi kyakukola.,kambale
The president has over 100 presidential advisors,Omukulembeze w'eggwanga alina abamuwa amagezi abasukka mu kikumi.,kambale
How do you spend your free time?,Kiki ky'okola mu biseera byo eby'eddembe?,kambale
He accused the National Resistance Movement of sectarianism.,Yalumirizza National Resistance Movement okusosola mu mawanga.,kambale
She promised to give me a call in an hour.,Yasuubizza okunkubirako mu ssaawa emu.,kambale
This amount is like a drop in the ocean.,Ssente ezo ntono nnyo ku zeetaagibwa.,kambale
In most sports games there is always a team member defending an opponent.,Mu mizannyo egisinga obungi mu ttiimu mutera okubaamu omuzannyi atangira omulabe.,kambale
God has very many servants all over the world.,Abantu bangi mu nsi baweereza Katonda.,kambale
She mopped the house.,Yasiimmula ennyumba.,kambale
This report was released last year in December.,Alipoota eno yafulumizibwa mu Ddesemba w'omwaka oguwedde.,kambale
They are using public resources to do their work.,Bakozesa ssente za gavumenti mu byabwe.,kambale
I am one of the company representatives.,Nze omu ku bakiikiridde kkampuni.,kambale
He encouraged the staff to work towards achieving the organisation's objectives.,Yakubiriza abakozi okukola okusobola okutuukiriza ebiruubirirwa by'ekitongole.,kambale
I found these kids playing from the road.,Abaana bano mbasanze bazannyira ku kkubo.,kambale
The received donations will help address the problems we face.,Obuyambi obwafunibwa bujja kutuyamba okukola ku bizibu bye tusanga.,kambale
Several leaders attended the workshop.,Abakulembeze ab'enjawulo beetabye mu musomo.,kambale
Men divorced her because she is disabled.,Abasajja bayawukana naye mu bufumbo kubanga aliko obulemu.,kambale
Children with bad eyesight may be discriminated against in school.,Abaana abatalaba bulungi bayinza okusosolebwa mu ssomero.,kambale
They have lived on this land since childhood.,Babadde ku ttaka lino okuva obuto.,kambale
Members have exaggerated hospital issues.,Abatuuze basavuwazizza ensonga z'eddwaliro.,kambale
They provided details of the account where money will be sent.,Baabawa ebikwata ku akawuti kwe banaasindika ssente.,kambale
Her pictures spread on social media like wildfire.,Ebifaananyi bye bibadde biyitangana ku mikuttu emigattabantu.,kambale
Key witnesses are very important in an investigation.,Abajulizi ab'enkizo ba mugaso nnyo mu kunoonyereza.,kambale
We have to move cautiously until everything has settled.,Tulina okutambula n'obwegendereza okutuusa nga buli kintu kiwedde.,kambale
The tax was subsequently reduced to fifteen percent.,Omusolo gwasaliddwa ddala okutuuka ku bitundu kkumi na bitaano ku buli kikumi.,kambale
I lay my bed every morning.,Obuliri bwange mbwaala buli ku makya.,kambale
He is one of the most inspiring upcoming artists.,Y'omu ku bayimbi ab'ekitone abajja.,kambale
People travel long distances to Namugongo to celebrate Martyr's Day,Abantu batambula engendo empanvu okugenda e Namugongo okukuza olunaku lw'abajulizi.,kambale
More money has been allocated to disaster preparedness.,Ssente endala ziweereddwayo ku kwetegekera ebibamba.,kambale
The organization wants to be involved in the management of the funds.,Ekibiina kyagala kyenyigire mu nzirukanya ya ssente.,kambale
Those policies are aimed at protecting local businesses.,Amateeka ago galuubirira okukuuma bizinensi za kuno.,kambale
